,Manufacturer,Partnumber,Quantity,Price,supplier
0,FRISART,40004,1,27.34,metal
1,SANFIL,5045,1,52.58,metal
2,BRANIL,BCHT004A,1,12.3,metal
3,BRANIL,BCHO108,1,22.09,metal
4,BRANIL,BCHV101RV,1,53.15,metal
5,BRANIL,BVW601X,1,45.72,metal
6,BRANIL,BVW1401X,1,42.1,metal
7,BRANIL,BCHO001X,1,61.05,metal
8,BRANIL,BCHO201X,1,61.5,metal
9,BRANIL,BCHC0001X,1,34.5,metal
10,BRANIL,BFI1101X,1,44.01,metal
11,BRANIL,BFI1601X,1,66.66,metal
12,BRANIL,BFI1801X,1,57.16,metal
13,BRANIL,BCL101X,1,39.41,metal
14,BRANIL,BVW402A,1,19.24,metal
15,BRANIL,BVW502,1,4.54,metal
16,BRANIL,BCHO002,1,4.44,metal
17,BRANIL,BCHO202,1,3.83,metal
18,BRANIL,BCHT002,1,4.35,metal
19,BRANIL,BCHC002A,1,9.67,metal
20,BRANIL,BCH002A,1,9.67,metal
21,BRANIL,BCH002D,1,8.28,metal
22,BRANIL,BCH002E,1,8.35,metal
23,BRANIL,BCL002,1,2.39,metal
24,BRANIL,BCL302,1,12.8,metal
25,BRANIL,BCL302A,1,26.05,metal
26,BRANIL,BWO002A,1,16.92,metal
27,BRANIL,BFI1002,1,3.92,metal
28,BRANIL,BVW604,1,5.73,metal
29,BRANIL,BVW704B,1,3.15,metal
30,BRANIL,BVW604B,1,6.33,metal
31,BRANIL,BVW638,1,16.68,metal
32,BRANIL,BCHO204,1,7.21,metal
33,BRANIL,BCHT004B,1,1.98,metal
34,BRANIL,BCHT004C,1,3.47,metal
35,BRANIL,BCHT204AE,1,7.3,metal
36,BRANIL,BCHT204DE,1,4.82,metal
37,BRANIL,BCHT304A,1,3.34,metal
38,BRANIL,BCHM004AE,1,3.23,metal
39,BRANIL,BCHM004,1,3.46,metal
40,BRANIL,BCHM004B,1,2.62,metal
41,BRANIL,BFI1004E,1,4.66,metal
42,BRANIL,BFI1104B,1,3.28,metal
43,BRANIL,BFI1104C,1,3.15,metal
44,BRANIL,BFI1104D,1,3.0,metal
45,BRANIL,BFI1404,1,3.68,metal
46,BRANIL,BFI1404A,1,5.71,metal
47,BRANIL,BFI1504,1,4.75,metal
48,BRANIL,BFI1140,1,7.89,metal
49,BRANIL,BFI1340,1,12.82,metal
50,BRANIL,BCL004D,1,1.98,metal
51,BRANIL,BCL004A,1,4.58,metal
52,BRANIL,BCL204,1,3.99,metal
53,BRANIL,BWO004A,1,6.53,metal
54,BRANIL,BCL238,1,10.52,metal
55,BRANIL,BCL238B,1,7.75,metal
56,BRANIL,BCL238C,1,10.63,metal
57,BRANIL,BVW1401RV,1,35.86,metal
58,BRANIL,BCHM001RV,1,27.0,metal
59,BRANIL,BCHC101RV,1,34.76,metal
60,BRANIL,BCHC201RV,1,32.15,metal
61,BRANIL,BFI1501RV,1,45.25,metal
62,BRANIL,BFI2501RVML,1,81.41,metal
63,BRANIL,BCL607,1,25.15,metal
64,BRANIL,BN056BAP,1,14.21,metal
65,BRANIL,BN050MLS,1,32.66,metal
66,BRANIL,BN006BAP,1,14.15,metal
67,BRANIL,BN009BAP,1,12.08,metal
68,BRANIL,BN002BAP,1,36.21,metal
69,BRANIL,BN090BAP,1,15.14,metal
70,BRANIL,BN093BAP,1,14.61,metal
71,BRANIL,BN097BAP,1,14.79,metal
72,BRANIL,BCH010,1,2.75,metal
73,BRANIL,BCH012,1,4.96,metal
74,BRANIL,BCH008,1,4.33,metal
75,BRANIL,BVW506,1,7.51,metal
76,BRANIL,BCHM207A,1,8.01,metal
77,BRANIL,BCH006,1,6.52,metal
78,BRANIL,BCHO106,1,13.79,metal
79,BRANIL,BCHO206,1,9.9,metal
80,BRANIL,BFI1106,1,7.64,metal
81,BRANIL,BFI1607,1,22.02,metal
82,BRANIL,BFI1907,1,4.47,metal
83,BRANIL,BCL306,1,6.68,metal
84,BRANIL,BVW406,1,4.49,metal
85,BRANIL,BWO066E,1,8.88,metal
86,BRANIL,BIE1004,1,14.34,metal
87,BRANIL,BIE1104,1,11.55,metal
88,BRANIL,BIE1104E,1,34.94,metal
89,BRANIL,BIE1204,1,11.33,metal
90,BRANIL,BIE1204E,1,34.62,metal
91,BRANIL,BIE1504,1,16.08,metal
92,BRANIL,BIE1504E,1,38.27,metal
93,BRANIL,BIE2004E,1,36.71,metal
94,BRANIL,BIE2004EA,1,36.64,metal
95,BRANIL,BIE2104,1,12.33,metal
96,BRANIL,BIE2104E,1,37.57,metal
97,BRANIL,BIE2304,1,10.15,metal
98,BRANIL,BIE2304E,1,33.55,metal
99,BRANIL,BIE2304EA,1,35.0,metal
100,BRANIL,BIE2404,1,10.68,metal
101,BRANIL,BIE2404E,1,34.13,metal
102,BRANIL,BIE2404EA,1,35.59,metal
103,BRANIL,BIE2504,1,14.4,metal
104,BRANIL,BIE2504E,1,38.57,metal
105,BRANIL,BIE4004,1,9.95,metal
106,BRANIL,BIE4004E,1,33.94,metal
107,BRANIL,BIE4104,1,10.95,metal
108,BRANIL,BIE4204,1,13.69,metal
109,BRANIL,BIE4204E,1,36.54,metal
110,BRANIL,BIE4204EA,1,38.15,metal
111,BRANIL,BIE4304E,1,30.41,metal
112,BRANIL,BIE4404E,1,28.64,metal
113,BRANIL,BIE4504,1,17.93,metal
114,BRANIL,BIE4504E,1,40.58,metal
115,BRANIL,BIE4704E,1,29.56,metal
116,BRANIL,BIE4904,1,13.88,metal
117,BRANIL,BIE4904E,1,37.21,metal
118,BRANIL,BIE5004,1,10.42,metal
119,BRANIL,BIE5004E,1,28.55,metal
120,BRANIL,BIE5104,1,11.02,metal
121,BRANIL,BIE5104E,1,34.41,metal
122,BRANIL,BIE5204,1,13.9,metal
123,BRANIL,BIE5204E,1,35.28,metal
124,BRANIL,BIE5304,1,9.83,metal
125,BRANIL,BIE5304E,1,33.33,metal
126,BRANIL,BIE5404,1,10.6,metal
127,BRANIL,BIE5404E,1,34.62,metal
128,BRANIL,BIE8104E,1,70.89,metal
129,BRANIL,BIE8204E,1,68.26,metal
130,BRANIL,BIE8304E,1,68.8,metal
131,BRANIL,BIE8304,1,15.96,metal
132,BRANIL,BIE8404E,1,14.74,metal
133,BRANIL,BFK001X,1,55.79,metal
134,BRANIL,BN099MLS,1,38.24,metal
135,BRANIL,BN100MLS,1,36.26,metal
136,BRANIL,BCL608,1,17.33,metal
137,BRANIL,BCHO008,1,6.41,metal
138,BRANIL,BCHM208,1,10.32,metal
139,BRANIL,BCH050,1,0.3,metal
140,BRANIL,BWO050,1,0.18,metal
141,BRANIL,BFI15021,1,4.39,metal
142,BRANIL,BFI2307E,1,7.44,metal
143,BRANIL,BVW756,1,0.4,metal
144,BRANIL,BVW404,1,3.72,metal
145,BRANIL,BVW304,1,3.49,metal
146,BRANIL,BVW504E,1,3.74,metal
147,BRANIL,BCHT338,1,4.47,metal
148,BRANIL,BVW1410,1,2.8,metal
149,BRANIL,BCHO012,1,2.87,metal
150,BRANIL,BCHO110,1,4.01,metal
151,BRANIL,BCHM210,1,3.2,metal
152,BRANIL,BFI1510,1,3.24,metal
153,BRANIL,BWO010,1,4.65,metal
154,BRANIL,BCHC008,1,3.87,metal
155,BRANIL,BFI1108,1,4.2,metal
156,BRANIL,BFI1708,1,3.94,metal
157,BRANIL,BCHM207,1,4.23,metal
158,BRANIL,BCHC007,1,5.25,metal
159,BRANIL,BCHT007,1,4.92,metal
160,BRANIL,BFI1506,1,6.92,metal
161,BRANIL,BFI1606,1,6.9,metal
162,BRANIL,BFI1807,1,3.51,metal
163,BRANIL,BVW206,1,3.67,metal
164,BRANIL,BVW516,1,1.89,metal
165,BRANIL,BCHT016,1,3.41,metal
166,BRANIL,BCL016,1,2.53,metal
167,BRANIL,BVW233A,1,0.99,metal
168,BRANIL,BVW442,1,0.3,metal
